Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CityRun,,,,2022-06-27 15:57:16,2022-06-27 15:57:39,22.628s,FAILED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Get All City,,,,2022-06-27 15:57:17,2022-06-27 15:57:27,10.093s,PASSED
"for ([i = 0, i < 2, (i++)])",,,,2022-06-27 15:57:18,2022-06-27 15:57:27,9.314s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Get One City,,,,2022-06-27 15:57:27,2022-06-27 15:57:34,6.621s,PASSED
"for ([i = 0, i < 4, (i++)])",,,,2022-06-27 15:57:28,2022-06-27 15:57:34,5.835s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Create One,,,,2022-06-27 15:57:34,2022-06-27 15:57:36,2.792s,FAILED
"rslt = sendRequest(findTestObject(""Postman/Admin/City/Create One""))",,,,2022-06-27 15:57:34,2022-06-27 15:57:36,2.127s,PASSED
"verifyResponseStatusCode(rslt, 200)",,,,2022-06-27 15:57:36,2022-06-27 15:57:36,0.028s,FAILED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Update City,,,,2022-06-27 15:57:36,2022-06-27 15:57:38,1.736s,FAILED
"rslt = sendRequest(findTestObject(""Postman/Admin/City/Update""))",,,,2022-06-27 15:57:37,2022-06-27 15:57:38,1.143s,PASSED
"verifyResponseStatusCode(rslt, 200)",,,,2022-06-27 15:57:38,2022-06-27 15:57:38,0.007s,FAILED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Delete,,,,2022-06-27 15:57:38,2022-06-27 15:57:39,0.863s,FAILED
"rslt = sendRequest(findTestObject(""Postman/Admin/City/Delete""))",,,,2022-06-27 15:57:39,2022-06-27 15:57:39,0.267s,FAILED
