Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AdminFlow,,,,2022-06-27 16:04:45,2022-06-27 16:05:59,1m - 13.769s,PASSED
,,,,,,,
Test Cases/Admin/TS1_Authori/TC_Login,,,,2022-06-27 16:04:46,2022-06-27 16:04:58,12.555s,PASSED
"for ([i = 0, i < 4, (i++)])",,,,2022-06-27 16:04:47,2022-06-27 16:04:58,11.441s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-06-27 16:04:58,2022-06-27 16:04:58,0.008s,PASSED
result = slurper.parseText(rslt.getResponseBodyContent()),,,,2022-06-27 16:04:58,2022-06-27 16:04:58,0.016s,PASSED
value = token,,,,2022-06-27 16:04:58,2022-06-27 16:04:58,0.000s,PASSED
token = value,,,,2022-06-27 16:04:58,2022-06-27 16:04:58,0.000s,PASSED
println(token),,,,2022-06-27 16:04:58,2022-06-27 16:04:58,0.012s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Create One,,,,2022-06-27 16:04:58,2022-06-27 16:05:00,1.907s,PASSED
"rslt = sendRequest(findTestObject(""Postman/Admin/City/Create One""))",,,,2022-06-27 16:04:59,2022-06-27 16:05:00,1.179s,PASSED
"verifyResponseStatusCode(rslt, 200)",,,,2022-06-27 16:05:00,2022-06-27 16:05:00,0.000s,PASSED
"verifyElementPropertyValue(rslt, ""data.name"", ""Bandung"")",,,,2022-06-27 16:05:00,2022-06-27 16:05:00,0.047s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-06-27 16:05:00,2022-06-27 16:05:00,0.000s,PASSED
result = slurper.parseText(rslt.getResponseBodyContent()),,,,2022-06-27 16:05:00,2022-06-27 16:05:00,0.000s,PASSED
value = id,,,,2022-06-27 16:05:00,2022-06-27 16:05:00,0.000s,PASSED
admin_CreateID = value,,,,2022-06-27 16:05:00,2022-06-27 16:05:00,0.000s,PASSED
println(admin_CreateID),,,,2022-06-27 16:05:00,2022-06-27 16:05:00,0.000s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Get All City,,,,2022-06-27 16:05:00,2022-06-27 16:05:05,4.815s,PASSED
