Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CityRun,,,,2022-06-27 15:51:08,2022-06-27 15:51:30,21.753s,FAILED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Get All City,,,,2022-06-27 15:51:08,2022-06-27 15:51:18,9.448s,PASSED
"for ([i = 0, i < 2, (i++)])",,,,2022-06-27 15:51:09,2022-06-27 15:51:18,8.633s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Get One City,,,,2022-06-27 15:51:18,2022-06-27 15:51:24,5.935s,PASSED
"for ([i = 0, i < 4, (i++)])",,,,2022-06-27 15:51:19,2022-06-27 15:51:24,5.125s,PASSED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Create One,,,,2022-06-27 15:51:24,2022-06-27 15:51:26,2.501s,FAILED
"rslt = sendRequest(findTestObject(""Postman/Admin/City/Create One""))",,,,2022-06-27 15:51:24,2022-06-27 15:51:26,1.819s,PASSED
"verifyResponseStatusCode(rslt, 200)",,,,2022-06-27 15:51:26,2022-06-27 15:51:26,0.000s,PASSED
"verifyElementPropertyValue(rslt, ""data.name"", ""Bandung"")",,,,2022-06-27 15:51:26,2022-06-27 15:51:26,0.063s,FAILED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Update City,,,,2022-06-27 15:51:26,2022-06-27 15:51:28,1.477s,FAILED
"rslt = sendRequest(findTestObject(""Postman/Admin/City/Update""))",,,,2022-06-27 15:51:27,2022-06-27 15:51:28,0.861s,PASSED
"verifyResponseStatusCode(rslt, 200)",,,,2022-06-27 15:51:28,2022-06-27 15:51:28,0.011s,FAILED
,,,,,,,
Test Cases/Admin/TS3_City/TC_Delete,,,,2022-06-27 15:51:28,2022-06-27 15:51:30,1.873s,FAILED
"rslt = sendRequest(findTestObject(""Postman/Admin/City/Delete""))",,,,2022-06-27 15:51:28,2022-06-27 15:51:29,1.276s,PASSED
"verifyResponseStatusCode(rslt, 200)",,,,2022-06-27 15:51:29,2022-06-27 15:51:30,0.010s,FAILED
